S_ID,C_ID,SCHL,Region,Division,School_size,Urbanicity,S1,S2_1,S2_2,S2_3,S2_4,S2_5,S2_6,S2_7,S2_7a,S3,S4_1,S4_2,S4_3,S4_4,S4_5,S4_6,S4_7,S4_8,S4_8a,S5_1,S5_2,S5_3,S5_4,S5_5,S5_6,S5_7,S5_8,S5_9,S5_9a,S6,S6a,S7_1,S7_2,S7_3,S7_4,S7_5,S7_6,S7_7,S7_7a,S8,S9a,S9b,S9c,S9d,S9e,S10a,S10_1,S10_2,S10_3,S10_4,S11_1,S11_2,S11_3,S11_4,S11_5,S11_6,S11_7,S11_7a,S12_1,S12_1a,S12_1b,S12_2,S12_2a,S12_2b,S12_2c,S12_3,S12_3a,S12_3b,S12_3c,S12_4,S12_4a,S12_4b,S12_4c,S12_5,S13,S14,S15_1,S15_2,S15_3,S15_4,S15_5,S15_6,S15_7,S15_7a,S16_1,S16_2,S16_3,S16_4,S16_4a,S17_1,S17_2,S17_3,S17_4,S17_5,S17_6,S17_7,S17_8,S17_8a,S18_1,S18_2,S18_3,S18_4,S18_5,S18_6,S18_7,S18_8,S18_8a,S19,S20_1,S20_2,S20_3,S20_4,S20,S21,S21a,S22,S23,S23a,S24,S25,S26,S26a,S26b,S27,S28,S29,S30,S31,S_Coder
59,4,101,4,8,3,1,60,0,0,0,1,1,0,0, ,2,0,0,0,0,1,1,1,0, ,0,0,0,0,0,0,0,0,1,Needed for citizenship,10,The more you can understand a person the less likely we are to offend on another. (Communication is key to everything.),1,0,0,0,0,0,0, ,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2, ,0,-2,-2,0,-2,-2,-2,0,-2,-2,-2,0,-2,-2,-2,1,0,8,4,3,7,1,4,2,-1, ,1,1,0,1,Full emersion,0,0,0,0,0,1,1,0, ,-2,-2,-2,-2,-2,-2,-2,-2, ,1,4,4,4,4,16,3, ,239,-2, ,239,239,1, , ,Irish,0,2,1979, ,2
60,4,101,4,8,3,1,60,0,0,0,0,1,0,0, ,2,0,0,0,0,1,0,0,0, ,0,0,0,0,0,0,1,0,0, ,7,Understanding culture helps understanding people.,1,0,0,0,0,0,0, ,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2, ,0,-2,-2,0,-2,-2,-2,0,-2,-2,-2,0,-2,-2,-2,1,0,3,3,2,7,1,2,2,-1, ,1,0,0,0, ,0,0,0,0,1,0,0,0, ,-2,-2,-2,-2,-2,-2,-2,-2, ,1,4,4,4,4,16,2, ,239,-2, ,239,239,1, , ,-1,0,2,1969, ,2
61,4,101,4,8,3,1,60,1,0,0,0,1,0,0, ,1,1,0,0,0,1,0,1,0, ,0,0,0,0,0,1,1,0,1,Plan to go to Italy,10,Communication is what makes humans great so being able to speak even minimal of a different language is very important.,1,0,0,0,0,0,0, ,3,100,-2,-2,-2,-2,100,3,2,3,2,1,1,1,1,1,1,-1, ,0,-2,-2,0,-2,-2,-2,1,100,-2,-2,0,-2,-2,-2,0,1,4,3,4,1,1,2,2,-1, ,1,0,0,0, ,0,0,1,0,1,1,1,0, ,-2,-2,-2,-2,-2,-2,-2,-2, ,1,4,4,3,4,15,6, ,239,-2, ,239,239,3, , ,Mexican-American,0,1,1994,"Teacher was really good at explaining every little detail, especially with it being such a fast paced course.",2
63,4,101,4,8,3,1,60,0,0,1,0,1,0,0, ,1,0,0,1,0,1,0,0,1,Schooling,0,0,0,0,0,0,1,0,1,Schooling,10,Better Opp,1,0,0,0,0,0,0, ,4,100,-2,-2,-2,-2,100,4,4,4,4,5,3,5,3,4,4,-1, ,1,100,-2,0,-2,-2,-2,0,-2,-2,-2,0,-2,-2,-2,0,1,3,3,3,3,3,3,3,-1, ,1,0,0,0, ,0,0,1,0,1,0,0,0, ,-2,-2,-2,-2,-2,-2,-2,-2, ,0,4,4,4,4,16,4, ,239,-2, ,149,149,3, , ,Mexican-American,0,1,1989,Don't make language classes into online classes.,2
64,4,101,4,8,3,1,60,0,0,1,0,1,0,0, ,2,0,0,1,0,1,0,0,0, ,0,0,0,0,1,0,1,0,0, ,10, ,1,0,0,0,0,0,0, ,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2, ,0,-2,-2,0,-2,-2,-2,1,40,-2,-2,0,-2,-2,-2,0,1,-1,2,2,1,1,1,2,-1, ,1,0,0,0, ,0,0,1,0,1,0,0,0, ,-2,-2,-2,-2,-2,-2,-2,-2, ,1,4,4,4,4,16,2, ,239,-2, ,239,238,1, , ,Earthling,0,1,1992,"I would love to continue my education in foreign languages, however, sadly, my state (AZ) cut funding for education, and as a result many language courses are being cut.",2
65,4,101,4,8,3,1,60,0,0,0,1,1,0,0, ,2,0,0,1,0,1,0,1,0, ,0,0,0,0,0,0,1,0,0, ,10,We live in global 21st century world -- everywhere is multicultural.,1,0,0,0,0,0,0, ,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2, ,0,-2,-2,0,-2,-2,-2,0,-2,-2,-2,0,-2,-2,-2,1,0,1,3,2,7,1,1,2,-1, ,1,0,0,0, ,0,0,1,0,1,0,1,0, ,-2,-2,-2,-2,-2,-2,-2,-2, ,1,4,4,4,4,16,6, ,239,-2, ,239,239,1, , ,-1,0,2,1984,Everyone should be required to be fluent in a second language!,2
67,4,101,4,8,3,1,60,0,0,0,0,1,0,0, ,2,0,0,1,0,1,0,0,1,To travel,0,0,1,0,0,0,1,0,0, ,10,"Allows one to have more global perspectove, respect other cultures, and to use your own language more creatively.",1,0,0,0,0,0,0, ,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2, ,0,-2,-2,0,-2,-2,-2,0,-2,-2,-2,0,-2,-2,-2,1,1,2,2,2,7,1,1,2,-1, ,1,0,0,0, ,0,0,1,0,1,0,0,1,To travel,-2,-2,-2,-2,-2,-2,-2,-2, ,1,4,4,4,4,16,5, ,239,-2, ,239,239,1, , ,-1,0,2,1984, ,2
68,4,101,4,8,3,1,60,0,0,1,1,1,0,1,To conintue learning so not to forget.,1,1,0,1,1,1,0,1,0, ,1,0,0,0,0,0,1,0,1,To live in Italia for work + pleasure.,10,Want to be more diverse.,1,0,0,0,0,0,0, ,4,10,-2,-2,-2,-2,10,4,4,4,4,-1,3,1,-1,-1,-1,-1, ,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,3,5,1,2,4,2,-1, ,0,1,0,0, ,0,0,0,0,1,0,1,1,To continue learning this language (Italian),-2,-2,-2,-2,-2,-2,-2,-2, ,1,4,4,4,4,16,6, ,239,-2, ,239,239,1, , ,-1,0,2,1964,"I graduated with a BA this past summer and I am currently auditing this class because I need to continue remembering and using Italian, so that I can work and live in Italy someday.",2
69,4,101,4,8,3,1,60,0,0,0,0,1,1,0, ,2,0,0,1,0,1,0,1,0, ,0,0,0,0,0,0,1,0,1,I want to be able to communicate with Italians when I travel.,10,"To be a global citizan and understand other cultures and solve world problems, speaking multiple languages is critical. Also, people who speak other languages have a delayed onset of dementia.",1,0,0,0,0,0,0, ,4,40,-2,-2,-2,-2,40,4,4,4,4,4,5,2,3,5,1,-1, ,0,-2,-2,0,-2,-2,-2,1,40,-2,-2,1,40,-2,-2,0,-1,1,3,2,7,1,4,2,-1, ,1,1,0,0, ,0,0,1,0,1,0,1,1,I enjoy learning languages.,-2,-2,-2,-2,-2,-2,-2,-2, ,1,4,4,4,4,16,6, ,239,-2, ,239,239,1, , ,-1,-1,2,1976,"Having online foreign language classes as a goal of the college is ridiculous. People need to work in a social, person to person class to learn a language.",2
1379,88,101,4,8,3,1,40,0,0,1,1,1,0,0, ,2,1,0,1,1,0,0,0,0, ,1,0,0,0,0,1,1,0,0, ,7,Good for job potential and cultural interest.,0,0,0,1,0,0,0, ,2,-1,-2,-2,-2,-2,-2,2,2,1,1,1,1,1,1,1,1,-1, ,0,-2,-2,0,-2,-2,-2,0,-2,-2,-2,0,-2,-2,-2,1,1,1,2,3,6,1,3,1,-1, ,1,0,0,0, ,1,1,1,1,1,0,0,0, ,-2,-2,-2,-2,-2,-2,-2,-2, ,1,3,4,4,4,15,3, ,239,-2, ,239,239,1, , ,American,0,2,1949,This was interesting.,2
1380,88,101,4,8,3,1,40,0,0,1,0,0,0,0, ,2,1,0,1,1,1,0,0,0, ,1,0,1,0,0,1,1,0,0, ,9,Because the world is a global culture.,1,0,0,0,0,0,0, ,1,590,-2,-2,-2,-2,590,4,4,4,4,4,4,3,5,5,5,-2, ,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,2,3,2,1,1,2,2,-1, ,1,0,0,0, ,1,1,1,1,1,0,0,0, ,-2,-2,-2,-2,-2,-2,-2,-2, ,0,4,4,4,4,16,5, ,239,-2, ,239,239,-1, , ,-1,0,2,1956, ,2
1381,88,101,4,8,3,1,40,0,0,1,0,1,0,0, ,1,0,0,1,0,0,0,0,0, ,1,0,0,0,0,0,1,0,0, ,8,To better communicate with the world.,0,1,0,0,0,0,0, ,1,-2,-2,-2,-2,-2,-2,2,2,2,2,2,1,1,1,1,2,-2, ,1,40,-2,1,100,-2,-2,0,-2,-2,-2,0,-2,-2,-2,0,1,1,6,4,1,2,2,3,-1, ,1,0,0,0, ,0,0,1,0,0,0,0,0, ,-2,-2,-2,-2,-2,-2,-2,-2, ,1,4,4,4,4,16,6,Doctorate,239,-2, ,239,239,1, , ,-1,0,2,1995, ,2
1382,88,101,4,8,3,1,40,0,0,0,0,1,0,0, ,2,0,0,0,0,1,0,0,0,"Started French in college, but didn't finish. The TA's went on strike! (UW-Madison 1970s.)",0,0,0,1,0,0,1,0,0, ,1,It depends on the person's needs -- it's not important for some individuals.,0,0,0,1,0,1,0, ,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2, ,0,-2,-2,0,-2,-2,-2,0,-2,-2,-2,0,-2,-2,-2,1,-1,8,-1,2,-1,-1,-1,2,-1, ,1,0,0,0, ,0,0,0,0,1,0,0,1,Personal knowledge,-2,-2,-2,-2,-2,-2,-2,-2, ,1,4,4,4,4,16,6,MD,239,-2, ,239,43,1, , ,American (European descent),0,2,1957, ,2
1383,88,101,4,8,3,1,40,0,0,1,0,1,0,0, ,2,1,0,0,0,0,0,1,0, ,0,1,0,0,0,0,0,1,0, ,10, ,1,0,0,0,0,0,0, ,4,310,690,-2,-2,-2,-1,4,4,3,2,5,1,3,3,1,1,-1, ,0,-2,-2,0,-2,-2,-2,1,100,-2,-2,0,-2,-2,-2,0,1,8,2,2,1,1,1,2,-1, ,1,0,0,0, ,0,0,0,0,1,0,0,0, ,-2,-2,-2,-2,-2,-2,-2,-2, ,0,4,4,4,4,16,2, ,89,9, ,89,89,2, , ,African,0,2,1996, ,2
1384,88,101,4,8,3,1,40,0,1,0,0,0,0,0, ,2,0,1,0,0,1,0,0,0, ,0,0,0,0,0,0,1,0,0, ,5, ,0,0,1,0,0,0,0, ,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2, ,0,-2,-2,0,-2,-2,-2,0,-2,-2,-2,1,100,-2,-2,0,0,1,2,2,6,1,1,2,-1, ,0,1,0,0, ,0,0,0,0,1,0,0,0, ,-2,-2,-2,-2,-2,-2,-2,-2, ,1,3,3,3,3,12,5, ,239,-2, ,239,239,1, , ,-1,0,2,1980, ,2
1385,88,101,4,8,3,1,40,0,0,0,0,1,0,0, ,2,0,0,0,0,1,0,1,1,To communicate with French collegues,1,0,0,1,0,0,1,0,1,Want to live in France,10,For worldwide understanding and greater appreciation of other cultures.,0,0,0,0,0,0,1,"Yes, at this college",1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2, ,0,-2,-2,0,-2,-2,-2,0,-2,-2,-2,0,-2,-2,-2,1,-1,1,2,2,7,1,3,2,2,Exercise,1,0,0,0, ,0,0,0,0,1,0,1,1,To learn more,-2,-2,-2,-2,-2,-2,-2,-2, ,1,4,4,4,4,16,2, ,239,-2, ,239,239,1, , ,-1,0,2,1954, ,2
1387,88,101,4,8,3,1,40,0,0,1,0,0,0,0, ,2,1,1,1,1,1,0,0,0, ,0,0,0,1,0,0,1,0,0, ,10,I want to be able to speak to people in a language other than English out of respect and invest.,0,0,0,1,0,0,0, ,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2, ,0,-2,-2,0,-2,-2,-2,0,-2,-2,-2,0,-2,-2,-2,1,1,4,3,2,6,1,1,2,-1, ,1,0,0,0, ,1,1,1,1,1,0,0,0, ,-2,-2,-2,-2,-2,-2,-2,-2, ,1,4,4,4,4,16,7,Some college (No degrees),239,-2, ,239,239,1, , ,American,0,2,1993, ,2
1388,88,101,4,8,3,1,40,0,0,0,0,1,0,0, ,1,0,0,0,0,1,0,0,0, ,0,0,0,0,0,0,1,0,0, ,9,Multicultural,1,0,0,0,0,0,0, ,2,100,90,-2,-2,-2,90,4,4,3,3,2,1,1,3,1,1,-1, ,0,-2,-2,0,-2,-2,-2,0,-2,-2,-2,0,-2,-2,-2,1,1,5,2,4,4,1,2,2,-1, ,0,1,0,0, ,1,0,0,0,0,0,0,0, ,-2,-2,-2,-2,-2,-2,-2,-2, ,1,3,4,3,4,14,5, ,239,-2, ,189,238,1, , ,-1,0,1,1996, ,2
1389,88,101,4,8,3,1,40,0,0,1,0,0,0,0, ,1,0,0,0,1,1,0,1,0, ,0,1,0,0,0,0,1,0,0, ,10,Why not? It's just boring knowing only one.,1,0,0,0,0,0,0, ,2,100,70,-2,-2,-2,100,4,4,4,4,2,2,-1,-1,2,-1,-1, ,1,100,70,0,-2,-2,-2,0,-2,-2,-2,0,-2,-2,-2,0,1,4,2,3,7,1,2,1,-1, ,1,0,0,0, ,0,0,0,1,0,0,0,0, ,-2,-2,-2,-2,-2,-2,-2,-2, ,0,4,4,4,4,16,2, ,149,13, ,149,149,3, , ,-1,0,-1,1991, ,2
1390,88,101,4,8,3,1,40,1,1,1,0,1,1,0, ,1,1,1,0,1,1,0,0,1,Because it was available.,0,1,0,0,0,1,1,0,1,I hadn't taken it before.,10,More opportunities,1,0,0,0,0,0,0, ,3,100,-2,-2,-2,-2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3, ,0,-2,-2,0,-2,-2,-2,0,-2,-2,-2,0,-2,-2,-2,1,1,4,2,1,6,1,4,2,-1, ,1,0,0,0, ,1,1,0,1,1,0,0,1,I like it.,-2,-2,-2,-2,-2,-2,-2,-2, ,1,4,4,4,4,16,2, ,239,-2, ,239,239,3, , ,Mexican,0,1,1976,"More French, Please Merci.",2
1391,88,101,4,8,3,1,40,0,1,1,0,1,0,0, ,2,1,0,1,1,1,0,0,0, ,1,0,0,1,0,0,1,0,0, ,9,It's silly to expect everyone to know English. Knowling a second language is just a valauable skill.,0,0,1,1,0,1,0, ,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2, ,0,-2,-2,0,-2,-2,-2,0,-2,-2,-2,0,-2,-2,-2,1,1,2,3,2,5,1,1,2,-1, ,1,0,0,0, ,1,0,1,1,1,0,0,0, ,-2,-2,-2,-2,-2,-2,-2,-2, ,1,4,3,4,3,14,7,Some community college,239,-2, ,239,239,1, , ,-1,0,2,1988, ,2
1392,88,101,4,8,3,1,40,0,0,1,0,1,0,0, ,1,1,0,0,1,1,0,0,0, ,0,0,0,0,0,1,1,0,0, ,9,I want to be proficient.,1,0,0,0,0,0,0, ,1,-2,-2,-2,-2,-2,-2,2,2,2,2,3,1,1,1,1,3,-2, ,0,-2,-2,0,-2,-2,-2,0,-2,-2,-2,0,-2,-2,-2,1,1,1,2,1,1,1,1,2,-1, ,1,0,0,0, ,1,0,0,0,1,0,0,0, ,-2,-2,-2,-2,-2,-2,-2,-2, ,1,4,4,4,4,16,2, ,239,-2, ,239,239,1, , ,American,0,2,1963, ,2
1393,88,101,4,8,3,1,40,0,0,0,0,1,0,0, ,1,0,0,1,0,1,0,0,0, ,1,0,0,0,0,0,1,0,0, ,10,Job opportunities,0,0,1,0,0,0,0, ,4,100,-2,-2,-2,-2,100,4,4,4,4,5,5,5,5,5,5,-1, ,1,100,-2,1,100,-2,-2,1,100,-2,-2,0,-2,-2,-2,0,1,4,3,4,1,1,1,2,-1, ,1,0,0,0, ,0,0,1,0,0,0,0,0, ,-2,-2,-2,-2,-2,-2,-2,-2, ,0,4,4,4,4,16,5, ,239,-2, ,149,149,3, , ,Mexican-American,1,2,1996, ,2
1394,88,101,4,8,3,1,40,0,0,1,0,0,0,0, ,1,1,1,0,0,1,0,0,0, ,0,0,0,1,0,0,1,0,0, ,6,It's cool to know another language.,0,0,0,1,0,0,0, ,1,-2,-2,-2,-2,-2,-2,3,2,4,2,1,1,1,2,1,3,-2, ,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,2,2,3,3,1,4,2,-1, ,1,0,0,0, ,0,1,0,1,1,0,0,0, ,-2,-2,-2,-2,-2,-2,-2,-2, ,1,4,4,4,4,16,5, ,239,-2, ,239,239,1, , ,American,0,2,1995, ,2
1395,88,101,4,8,3,1,40,0,0,0,0,1,0,0, ,2,0,0,0,0,1,0,0,0, ,0,0,0,0,0,0,0,1,0, ,9,The world is smaller.,1,0,0,0,0,0,0, ,3,50,-2,-2,-2,-2,50,3,3,3,3,2,1,1,1,1,1,-1, ,0,-2,-2,0,-2,-2,-2,0,-2,-2,-2,0,-2,-2,-2,1,1,1,2,2,5,2,7,2,-1, ,1,0,0,0, ,0,0,0,0,1,0,0,0, ,-2,-2,-2,-2,-2,-2,-2,-2, ,1,4,4,4,4,16,6, ,239,-2, ,239,239,1, , ,American,0,2,1960, ,2
11,2,102,1,2,3,1,60,0,1,0,1,0,0,0, ,1,1,0,0,0,0,1,0,0, ,0,0,0,0,1,0,1,0,0, ,7,"In a country where everyone, comes from a different country, its important  to know more than one language.",1,0,0,0,0,0,0, ,4,100,-2,-2,-2,-2,-2,4,4,3,2,5,2,1,1,3,1,-1, ,0,-2,-2,1,100,-2,-2,1,100,-2,-2,0,-2,-2,-2,0,0,3,3,2,2,1,2,2,-1, ,1,0,1,-1, ,1,0,0,0,0,0,0,0, ,-1,-1,-1,-1,-1,-1,-1,-1, ,0,4,4,4,4,16,2, ,66,7, ,66,66,3, , , ,0,1,1996, ,3
13,2,102,1,2,3,1,60,0,1,0,0,0,0,0, ,1,1,0,0,0,0,0,0,0, ,0,1,0,0,0,0,0,0,0, ,7,Because we still all use English more.,0,0,0,1,0,0,0, ,3,100,-2,-2,-2,-2,-2,3,3,1,1,5,1,1,1,1,1,-1, ,0,-2,-2,0,-2,-2,-2,1,100,-2,-2,0,-2,-2,-2,0,0,2,3,3,1,1,5,3,-1, ,0,0,1,0, ,0,1,0,0,0,0,0,0, ,1,0,0,0,0,0,0,0, ,0,4,4,4,4,16,4, ,239,-2, ,68,66,3, , , ,0,2,1995,Book too expensive. Online requirement too expensive.,3
14,2,102,1,2,3,1,60,0,1,1,0,1,0,0, ,1,1,1,0,1,1,1,1,0, ,0,1,0,0,0,0,1,0,0, ,10,Better job opportunities and the career I'm looking for I must be know more than one language.,1,0,0,0,0,0,0, ,3,-1,-2,-2,-2,-2,-2,2,2,3,3,3,1,1,1,1,1,-1, ,0,-2,-2,1,100,-2,-2,1,100,-2,-2,0,-2,-2,-2,0,1,2,3,2,1,1,4,1,-1, ,1,1,0,0, ,0,0,1,0,1,0,0,0, ,-2,-2,-2,-2,-2,-2,-2,-2, ,1,4,4,4,4,16,2, ,239,-2, ,103,239,3, , ,American,0,1,1994,Book is to expensive online requirements are to expensive,3
